session_id,station_id,city,charger_type,operator,start_time,end_time,duration_hrs,energy_kwh,vehicle_type,day_of_week,hour,is_weekend,wait_time_mins,revenue_inr,user_segment
SES000001,STA007,Bengaluru,DC CCS2 (150 kW),Bolt.Earth,2025-02-10 21:05:00,2025-02-10 21:33:12,0.47,57.1,Ather 450X,Monday,21,False,15.8,1394.38,Daily Commuter
SES000002,STA020,Delhi,AC Type 2 (7.4 kW),BPCL EV Station,2025-01-20 19:04:00,2025-01-20 22:02:12,2.97,17.81,Tata Tigor EV,Monday,19,False,14.2,228.86,Intercity Traveller
SES000003,STA020,Delhi,AC Type 2 (7.4 kW),BPCL EV Station,2025-02-23 05:53:00,2025-02-23 08:08:35,2.26,15.73,BMW iX,Sunday,5,True,6.4,202.13,Weekend User
SES000004,STA027,Mumbai,AC Type 2 (7.4 kW),Bolt.Earth,2025-01-03 20:48:00,2025-01-03 22:22:48,1.58,10.62,BYD Atto 3,Friday,20,False,14.5,135.19,Daily Commuter
SES000005,STA042,Pune,AC Type 2 (22 kW),Statiq,2025-02-15 11:24:00,2025-02-15 12:31:47,1.13,21.97,Mahindra XUV400,Saturday,11,True,7.0,304.28,Intercity Traveller
SES000006,STA011,Bengaluru,AC Type 2 (22 kW),Bolt.Earth,2025-03-11 20:57:00,2025-03-11 21:29:24,0.54,10.66,Ather 450X,Tuesday,20,False,16.2,154.89,Daily Commuter
SES000007,STA032,Mumbai,DC CCS2 (50 kW),BPCL EV Station,2025-03-04 03:21:00,2025-03-04 03:57:36,0.61,23.0,Mahindra XUV400,Tuesday,3,False,0.0,413.77,Fleet Driver
SES000008,STA025,Delhi,AC Type 2 (22 kW),Ather Grid,2025-03-01 21:39:00,2025-03-01 22:48:00,1.15,20.08,Mahindra XUV400,Saturday,21,True,16.3,317.46,Intercity Traveller
SES000009,STA020,Delhi,AC Type 2 (7.4 kW),BPCL EV Station,2025-03-26 02:41:00,2025-03-26 04:59:00,2.3,14.41,BYD Atto 3,Wednesday,2,False,0.0,185.17,Daily Commuter
SES000010,STA022,Delhi,DC CCS2 (150 kW),BPCL EV Station,2025-02-03 12:13:00,2025-02-03 12:41:48,0.48,69.79,Tata Tigor EV,Monday,12,False,14.4,1695.2,Fleet Driver
SES000011,STA020,Delhi,AC Type 2 (7.4 kW),BPCL EV Station,2025-02-18 11:53:00,2025-02-18 13:12:48,1.33,9.01,MG ZS EV,Tuesday,11,False,13.1,115.78,Intercity Traveller
